profile,variant,nrmse,decision_agreement
P1,No residual/temporal,0.8813800357453451,0.9088478234982084
P1,No temporal,0.7254968079158457,0.9121063514230349
P1,Linear residual,0.6863556210349261,0.9162850616522143
P1,Full,0.665193353699401,0.9161659792363569
P1,No typed contract,0.6659623583365224,0.9154947874378877
P2,No residual/temporal,7.952416780076973,0.7760059757721413
P2,No temporal,0.7768636060195048,0.8930206878633367
P2,Linear residual,0.739902232544937,0.8870773927446332
P2,Full,0.6745089326259773,0.9126151581089712
P2,No typed contract,0.6736480309417437,0.9133080012557782
P3,No residual/temporal,0.7953206210110957,0.8888311519599883
P3,No temporal,0.7527888666394713,0.9059790198434607
P3,Linear residual,0.7236916854789456,0.8979571952843364
P3,Full,0.7145540451161508,0.9109913069836424
P3,No typed contract,0.7139319243833522,0.9120630487263595
P4,No residual/temporal,1.1961775078585564,0.5526939690169206
P4,No temporal,0.9552179213560967,0.5525640609268943
P4,Linear residual,1.069678304951346,0.5508644300823834
P4,Full,0.9330130061797103,0.5524882812077122
P4,No typed contract,0.9219835560883315,0.5521851623309841
