sweep,value,profile,anchor_fraction,nrmse,decision_agreement,radius,coverage,fit_seconds,calibration_samples,mean_support,mean_age_ms,abstention,selective_error,post_drift_coverage,detection_rate,false_alarm_rate,median_detection_delay_ms,post_flagged_fraction
anchor_fraction,0.01,P3,0.01,0.7600758106557474,0.8728199798642461,3.5608826658531187,0.944085392917844,0.5004234399966663,10977.0,,,,,,,,,
anchor_fraction,0.02,P3,0.02,0.7409449992150792,0.879033916837171,3.4472558513194738,0.9431219079168155,0.5498401020013262,10977.0,,,,,,,,,
anchor_fraction,0.05,P3,0.05,0.7240157688663518,0.8782328169486755,3.3981238605029747,0.9435549348835699,0.7672951150016161,10977.0,,,,,,,,,
anchor_fraction,0.1,P3,0.1,0.7243779223499772,0.8821300596494647,3.379974753026133,0.9440529158953374,0.9849778539937688,10977.0,,,,,,,,,
anchor_fraction,0.2,P3,0.2,0.7207580852370947,0.8840895066740281,3.362787769496683,0.9442261266820391,1.1084288929996546,10977.0,,,,,,,,,
missing_rate,0.0,P1,,0.6714174189918586,0.901518842085891,,,,,0.9985074101739686,,,,,,,,
missing_rate,0.05,P1,,0.6772342863195303,0.9008801273099283,,,,,0.9483480021218321,,,,,,,,
missing_rate,0.1,P1,,0.6825409610894652,0.8984226992735973,,,,,0.8982264839292867,,,,,,,,
missing_rate,0.2,P1,,0.6970069179929543,0.8915592218505407,,,,,0.7982676214911284,,,,,,,,
missing_rate,0.3,P1,,0.716122406693063,0.8834183148755589,,,,,0.6983534149589166,,,,,,,,
lag_samples,0.0,P1,,0.7743303350705683,0.8921329825814902,,,,,,136.45182450255922,,,,,,,
lag_samples,1.0,P1,,0.6747623699503184,0.9013131542766826,,,,,,385.4518245025593,,,,,,,
lag_samples,2.0,P1,,0.79599600195245,0.8756130037998117,,,,,,634.4518245025592,,,,,,,
lag_samples,4.0,P1,,0.7971036516695136,0.8747252985179652,,,,,,1132.451824502559,,,,,,,
lag_samples,6.0,P1,,0.8002425794736074,0.8719214489082308,,,,,,1630.451824502559,,,,,,,
alpha,0.01,mean(P1:P4),,,,7.520652854776556,0.98720309944968,,,,,0.5559443776861204,0.015093102387479771,,,,,
alpha,0.025,mean(P1:P4),,,,5.037065672291191,0.9684353002304046,,,,,0.522498457341431,0.016048944982627992,,,,,
alpha,0.05,mean(P1:P4),,,,3.311109315732677,0.9434556346682605,,,,,0.5035345826161324,0.01664588572595154,,,,,
alpha,0.1,mean(P1:P4),,,,2.5224227721319656,0.8887143226275731,,,,,0.4711874681995821,0.017214706025272506,,,,,
alpha,0.2,mean(P1:P4),,,,1.8122503831811159,0.7915032681463045,,,,,0.43038550225715305,0.019436552219763086,,,,,
drift_magnitude,0.0,P4,,,,,,,,,,,,0.9368719649983173,0.018867924528301886,0.09433962264150944,230574.0,0.07691641496974225
drift_magnitude,0.25,P4,,,,,,,,,,,,0.9259820183662676,0.03773584905660377,0.09433962264150944,222481.5,0.07752265272319833
drift_magnitude,0.5,P4,,,,,,,,,,,,0.9064378095100726,0.09433962264150944,0.09433962264150944,50796.0,0.10244335465991145
drift_magnitude,0.75,P4,,,,,,,,,,,,0.8828789845665657,0.3018867924528302,0.09433962264150944,48555.0,0.18381994738722354
drift_magnitude,1.0,P4,,,,,,,,,,,,0.8254964180970239,0.7169811320754716,0.09433962264150944,10458.0,0.3638942115120219
drift_magnitude,1.25,P4,,,,,,,,,,,,0.7114043944420405,0.8867924528301887,0.09433962264150944,8964.0,0.44849685514165394
